id,app_id,ccu,collected_at
8686,1279610,19,2026-05-24 17:44:00.491311
8687,1280930,359,2026-05-24 17:44:01.742441
8688,1281080,1,2026-05-24 17:44:03.076444
8689,1281590,163,2026-05-24 17:44:04.416427
8690,1281630,318,2026-05-24 17:44:05.680494
8691,1281800,37,2026-05-24 17:44:07.016834
8692,1282100,1959,2026-05-24 17:44:08.258872
8693,1282150,60,2026-05-24 17:44:10.621469
8694,1282410,35,2026-05-24 17:44:11.939537
8695,1282590,18,2026-05-24 17:44:13.292839
8696,1282690,8,2026-05-24 17:44:14.601736
8697,1282730,209,2026-05-24 17:44:15.983471
8698,1283220,0,2026-05-24 17:44:17.752863
8699,1283400,62,2026-05-24 17:44:19.497443
8700,1283410,83,2026-05-24 17:44:20.814028
8701,1283970,7406,2026-05-24 17:44:22.049786
8702,1284190,5098,2026-05-24 17:44:23.350955
8703,1284210,5477,2026-05-24 17:44:24.579461
8704,1284410,400,2026-05-24 17:44:25.838963
8705,1286350,31,2026-05-24 17:44:27.143523
8706,1286530,0,2026-05-24 17:44:28.488567
8707,1286580,252,2026-05-24 17:44:29.881332
8708,1286680,410,2026-05-24 17:44:31.113804
8709,1286830,9114,2026-05-24 17:44:32.349466
8710,1286990,29,2026-05-24 17:44:33.646178
8711,1287840,44,2026-05-24 17:44:34.989254
8712,1288310,6,2026-05-24 17:44:36.299279
8713,1288320,154,2026-05-24 17:44:37.524402
8714,1289310,52,2026-05-24 17:44:38.738685
8715,1289810,106,2026-05-24 17:44:39.966296
8716,1290000,1762,2026-05-24 17:44:41.205945
8717,1290330,4,2026-05-24 17:44:42.550310
